Tree;Elev.;Temp.;Hum.;DBH;Abd;Rch;Bark;Cnp;Epi;D_Mean;Scarabidae_1;Scarabidae_2;Scarabidae_3;Chrysomelidae_1;Chrysomelidae_2;Chrysomelidae_3;Chrysomelidae_4;Chrysomelidae_5;Chrysomelidae_6;Chrysomelidae_7;Chrysomelidae_8;Chrysomelidae_9;Chrysomelidae_11;Chrysomelidae_12;Chrysomelidae_13;Chrysomelidae_14;Chrysomelidae_15;Chrysomelidae_16;Chrysomelidae_17;Chrysomelidae_18;Chrysomelidae_19;Coccinellidae_1;Coccinellidae_2;Chantharidae_1;Tenebrionidae_1;Other_1;Lycidae_1;Elateroidea_1;Elateroidea_2;Scarabidae_5;Scarabidae_4;Curculionoidea_1
Tree_1;1684.0;8.6;90;8.5;7;2;2;1;1;2;2;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tree_2;1683.0;7.6;88.4;12.1;0;0;3;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tree_3;1683.0;8.7;73.5;30.1;3;3;1;1;2;3;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Tree_4;1685.0;7.5;80.2;23.76;2;2;1;1;1;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tree_5;1677.0;6.7;82.8;11;0;0;3;2;2;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tree_6;1675.0;6.5;89.7;15.2;4;2;1;1;1;2;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tree_7;1675.0;5.6;99.8;10;2;1;2;1;2;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tree_8;1674.0;9.1;100;14.2;3;2;2;1;2;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tree_9;1673.0;7.2;100;9;1;1;2;1;2;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tree_10;1675.0;9.5;100;15.646;2;2;2;1;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
